strain	stressMPA
0	0.374769533
4.8E-05	0.81870064
9.8E-05	1.262631748
0.000148	1.706562855
0.000198	2.150493963
0.000246	2.59442507
0.000298	3.038356178
0.000348	3.482287285
0.000398	3.926218393
0.000448	4.3701495
0.000498	4.814080608
0.00055	5.258011715
0.000598	5.701942823
0.000648	6.14587393
0.000698	6.589805038
0.000748	7.033736145
0.000798	7.477667253
0.00085	7.92159836
0.000898	8.365529468
0.000948	8.809460575
0.000998	9.253391683
0.001048	9.69732279
0.001096	10.1412539
0.001148	10.58518501
0.001198	11.02911611
0.001248	11.47304722
0.001298	11.91697833
0.001348	12.36090944
0.0014	12.80484054
0.001448	13.24877165
0.001498	13.69270276
0.001548	14.13663387
0.001598	14.58056497
0.001648	15.02449608
0.0017	15.46842719
0.001748	15.9123583
0.001798	16.3562894
0.001848	16.80022051
0.001898	17.24415162
0.001948	17.68808273
0.001998	18.13201383
0.002048	18.57594494
0.002098	19.01987605
0.002148	19.46380716
0.002198	19.90773826
0.00225	20.35166937
0.002298	20.79560048
0.002348	21.23953159
0.002398	21.68346269
0.002448	22.1273938
0.002498	22.57132491
0.00255	23.01525602
0.002598	23.45918712
0.002648	23.90311823
0.002698	24.34704934
0.002748	24.79098045
0.002798	25.23491155
0.002848	25.67884266
0.002898	26.12277377
0.002948	26.56670488
0.002998	27.01063598
0.003048	27.45456709
0.0031	27.8984982
0.003148	28.34242931
0.003198	28.78636041
0.003248	29.23029152
0.003298	29.67422263
0.003348	30.11815374
0.0034	30.56208484
0.003448	31.00601595
0.003498	31.44994706
0.003548	31.89387817
0.003598	32.33780927
0.003648	32.78174038
0.0037	33.22567149
0.003748	33.6696026
0.003798	34.1135337
0.003848	34.55746481
0.003898	35.00139592
0.00395	35.44532703
0.003998	35.88925813
0.004048	36.33318924
0.004098	36.77712035
0.004148	37.22105146
0.004198	37.66498256
0.00425	38.10891367
0.004298	38.55284478
0.004348	38.99677589
0.004398	39.44070699
0.004448	39.8846381
0.004498	40.32856921
0.00455	40.77250032
0.004598	41.21643142
0.004648	41.66036253
0.004698	42.10429364
0.004748	42.54822475
0.004796	42.99215585
0.004848	43.43608696
0.004898	43.88001807
0.004948	44.32394918
0.004998	44.76788028
0.005048	45.21181139
0.0051	45.6557425
0.005148	46.09967361
0.005198	46.54360471
0.005248	46.98753582
0.005298	47.43146693
0.005348	47.87539804
0.0054	48.31932914
0.005448	48.76326025
0.005498	49.20719136
0.005548	49.65112247
0.005598	50.09505357
0.005648	50.53898468
0.005698	50.98291579
0.005748	51.4268469
0.005798	51.870778
0.005848	52.31470911
0.005898	52.75864022
0.00595	53.20257133
0.005998	53.64650243
0.006048	54.09043354
0.006098	54.53436465
0.006148	54.97829576
0.006198	55.42222686
0.00625	55.86615797
0.006298	56.31008908
0.006348	56.75402019
0.006398	57.19795129
0.006448	57.6418824
0.006498	58.08581351
0.006548	58.52974462
0.006598	58.97367572
0.006648	59.41760683
0.006698	59.86153794
0.006748	60.30546905
0.0068	60.74940015
0.006848	61.19333126
0.006898	61.63726237
0.006948	62.08119348
0.006998	62.52512458
0.007048	62.96905569
0.0071	63.4129868
0.007148	63.85691791
0.007198	64.30084901
0.007248	64.74478012
